,prof_id,first_name,school_id,school_name
0,2451460,Angela,3965,Davidson College
1,2056199,Daniel,3965,Davidson College
2,643081,Vivian,3965,Davidson College
3,1884174,Leonard,3965,Davidson College
4,643088,Timothy,3965,Davidson College
5,643091,Dan,3965,Davidson College
6,1376282,Ashley,3965,Davidson College
7,2629665,Michael,3965,Davidson College
8,593960,William,3965,Davidson College
9,1507369,Melissa,3965,Davidson College
10,1323072,Jacquelene,3965,Davidson College
11,2125894,Graham,3965,Davidson College
12,2515019,Jonad,3965,Davidson College
13,1638476,Graham,3965,Davidson College
14,81996,Laurie,3965,Davidson College
15,1638478,Carrie,3965,Davidson College
16,81999,Fuji,3965,Davidson College
17,2598989,Joshua,3965,Davidson College
18,245849,B J,3965,Davidson College
19,2566253,Peter,3965,Davidson College
20,2566255,Issac,3965,Davidson College
21,2566256,Sokrat,3965,Davidson College
22,1298544,Wilmer,3965,Davidson College
23,2445427,Sarah,3965,Davidson College
24,2291829,Karin,3965,Davidson College
25,315517,John,3965,Davidson College
26,2775171,Angela,3965,Davidson College
27,2728067,Claudia,3965,Davidson College
28,1722501,Saeyoung,3965,Davidson College
29,2603148,Rayed,3965,Davidson College
30,1779857,Christian,3965,Davidson College
31,2730129,Jack,3965,Davidson College
32,2181265,Carlos,3965,Davidson College
33,2039976,Scott,3965,Davidson College
34,2293935,Jaya,3965,Davidson College
35,2232495,Linsey,3965,Davidson College
36,2631868,Jeffrey,3965,Davidson College
37,2035915,Besir,3965,Davidson College
38,2762955,Joelle,3965,Davidson College
39,653515,Amanda,3965,Davidson College
40,1962189,Liss,3965,Davidson College
41,2762959,Bryce,3965,Davidson College
42,2332884,John,3965,Davidson College
43,2336981,Jason,3965,Davidson College
44,2418902,Brian,3965,Davidson College
45,622822,John,3965,Davidson College
46,2080998,Laura,3965,Davidson College
47,1233133,David,3965,Davidson College
48,622829,Michael,3965,Davidson College
49,2377969,Maggie,3965,Davidson College
50,1892599,Laurian,3965,Davidson College
51,1638652,Rizwan,3965,Davidson College
52,2541825,Sherilyn,3965,Davidson College
53,727298,Andrew,3965,Davidson College
54,1329427,Hilton,3965,Davidson College
55,2550037,Hanna,3965,Davidson College
56,2607381,Heather,3965,Davidson College
57,2607382,Alex,3965,Davidson College
58,2541848,Kevin,3965,Davidson College
59,2541849,Anthony,3965,Davidson College
60,2670874,Judith,3965,Davidson College
61,2607383,Yan,3965,Davidson College
62,2588965,Karl,3965,Davidson College
63,461096,Mario,3965,Davidson College
64,2222395,Bailey,3965,Davidson College
65,454971,Larry,3965,Davidson College
66,158013,Anne,3965,Davidson College
67,2222415,Matt,3965,Davidson College
68,2449746,Katherine,3965,Davidson College
69,2056530,Joseph,3965,Davidson College
70,1309014,David,3965,Davidson College
71,545115,Margaret,3965,Davidson College
72,1331549,Hun,3965,Davidson College
73,82289,Wolfgang,3965,Davidson College
74,82291,Rich,3965,Davidson College
75,1786242,Lauren,3965,Davidson College
76,2009491,Dylan,3965,Davidson College
77,2814358,Greg,3965,Davidson College
78,721305,Elizabeth,3965,Davidson College
79,721306,Brenda,3965,Davidson College
80,1651100,Brian,3965,Davidson College
81,721318,Gail,3965,Davidson College
82,1522088,Nate,3965,Davidson College
83,2709929,Hayden,3965,Davidson College
84,2462125,Antonio,3965,Davidson College
85,1999278,Samer,3965,Davidson College
86,2462127,Dasa,3965,Davidson College
87,2666925,Mark,3965,Davidson College
88,377268,Julio,3965,Davidson College
89,2492856,Bryan,3965,Davidson College
90,377278,Cindy,3965,Davidson College
91,336320,Timothy,3965,Davidson College
92,57804,Steven,3965,Davidson College
93,917970,Carlos,3965,Davidson College
94,1872360,Ann,3965,Davidson College
95,2607601,Emily,3965,Davidson College
96,213498,Randy,3965,Davidson College
97,1026567,Maurya,3965,Davidson College
98,2185739,Phil,3965,Davidson College
99,1843725,Andrew,3965,Davidson College
100,2638367,Rick,3965,Davidson College
101,2542113,Brandon,3965,Davidson College
102,1853985,Lucia,3965,Davidson College
103,2282022,Katie,3965,Davidson College
104,631350,Bill,3965,Davidson College
105,703030,Cort,3965,Davidson College
106,236092,Suzanne,3965,Davidson College
107,2185789,Mindy,3965,Davidson College
108,1296957,Caroline,3965,Davidson College
109,1684038,David,3965,Davidson College
110,139848,Jeremiah,3965,Davidson College
111,139849,Rodger,3965,Davidson College
112,1974870,Katherine,3965,Davidson College
113,266843,Alan,3965,Davidson College
114,309854,Chris,3965,Davidson College
115,309859,Peter,3965,Davidson College
116,2773613,Marcus,3965,Davidson College
117,55922,Bill,3965,Davidson College
118,2003570,Maren,3965,Davidson College
119,1190520,Florin,3965,Davidson College
120,2699898,Sandrine,3965,Davidson College
121,90751,David,3965,Davidson College
122,1962624,Frank ,3965,Davidson College
123,2228866,Tracey,3965,Davidson College
124,2699907,Annelise,3965,Davidson College
125,1831555,Amanda,3965,Davidson College
126,369284,Mary,3965,Davidson College
127,2157198,Rachel,3965,Davidson College
128,2169507,Axel,3965,Davidson College
129,305828,Neil,3965,Davidson College
130,2581157,Dasha,3965,Davidson College
131,1497767,Carl,3965,Davidson College
132,2640555,Diego,3965,Davidson College
133,2654904,Chris,3965,Davidson College
134,973504,Alica,3965,Davidson College
135,185030,Burkhard,3965,Davidson College
136,436947,Cole,3965,Davidson College
137,475861,Ruth,3965,Davidson College
138,1757924,Hagit,3965,Davidson College
139,1233649,Benajmin,3965,Davidson College
140,2611969,Jae,3965,Davidson College
141,391945,Patricia,3965,Davidson College
142,391948,Frank,3965,Davidson College
143,2575122,Anika,3965,Davidson College
144,174870,Michael,3965,Davidson College
145,1643286,Gouri,3965,Davidson College
146,174872,Mark,3965,Davidson College
147,174873,Shaw,3965,Davidson College
148,99116,Karl,3965,Davidson College
149,357170,Helen,3965,Davidson College
150,475969,Annie,3965,Davidson College
151,2431814,Debbie,3965,Davidson College
152,392009,Randy,3965,Davidson College
153,1397581,Dag,3965,Davidson College
154,1645390,Jessica,3965,Davidson College
155,498511,Paul,3965,Davidson College
156,277328,Mark,3965,Davidson College
157,2147153,Marija,3965,Davidson College
158,498513,Mark,3965,Davidson College
159,875349,Cynthia,3965,Davidson College
160,639848,Luis,3965,Davidson College
161,2171760,Natalie,3965,Davidson College
162,1735545,Bradley,3965,Davidson College
163,2261883,Naila,3965,Davidson College
164,1155973,Clay,3965,Davidson College
165,918409,,3965,Davidson College
166,175002,Angela,3965,Davidson College
167,615323,Alberto,3965,Davidson College
168,175003,Angela,3965,Davidson College
169,2513831,Britta,3965,Davidson College
170,1479594,Will,3965,Davidson College
171,1153966,Kelly,3965,Davidson College
172,1078193,Maria,3965,Davidson College
173,54203,Bob,3965,Davidson College
174,54206,Magdalena,3965,Davidson College
175,54207,Chris,3965,Davidson College
176,54209,Ann,3965,Davidson College
177,54213,Greg,3965,Davidson College
178,1782726,Irina,3965,Davidson College
179,54214,Barbara,3965,Davidson College
180,54215,Jennifer,3965,Davidson College
181,734162,Ruth,3965,Davidson College
182,734165,Pat,3965,Davidson College
183,734167,Jonathan,3965,Davidson College
184,132055,Lynn,3965,Davidson College
185,734171,Irl,3965,Davidson College
186,734172,Verna,3965,Davidson College
187,734180,Nancy,3965,Davidson College
188,734181,Meghan,3965,Davidson College
189,734182,Pamela,3965,Davidson College
190,734184,Margaret,3965,Davidson College
191,734185,Sean,3965,Davidson College
192,734186,Louis,3965,Davidson College
193,734190,Nina,3965,Davidson College
194,1371120,Joel,3965,Davidson College
195,734192,Ping,3965,Davidson College
196,734194,Catherine,3965,Davidson College
197,734195,Raymond,3965,Davidson College
198,648181,Ralph,3965,Davidson College
199,734197,Paul,3965,Davidson College
200,734200,Onita,3965,Davidson College
201,734201,Russ,3965,Davidson College
202,1451001,Damion,3965,Davidson College
203,2518020,Maria,3965,Davidson College
204,1887245,Annie,3965,Davidson College
205,642067,Fred,3965,Davidson College
206,2645021,Solmaz,3965,Davidson College
207,594981,David,3965,Davidson College
208,54311,Durwin,3965,Davidson College
209,594984,Homer,3965,Davidson College
210,54313,Mauro,3965,Davidson College
211,594986,Mary,3965,Davidson College
212,1446955,Rebekah,3965,Davidson College
213,1307702,Herb,3965,Davidson College
